question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms,
AIDA2-A-01,"우리가  숨을 들이 쉴 때, 공기는  폐로 유입되어  폐와 혈액 간의 기체 교환이  이루어지는  폐포로  이동한다 . 혈액은  폐에서  산소를  공급받고  이산화탄소를  배출한다 .",,참,거짓,,,1,A: 참,,medium,AIDA2,multiple_choice,,
AIDA2-A-02,옳은 것을 모두 고르시오 .,,대부분의  이산화탄소는  헤모글로빈과  결합하여  적혈구에  의해 폐로 운반된다 .,산소는  헤모글로빈과  결합하여  적혈구에  의해 온몸으로  운반된다 .,대부분의  이산화탄소는  혈장에  녹아 폐로 운반된다 .,산소는  혈장에  녹아 온 몸으로  운반된다 .,2,"B: 산소는  헤모글로빈과  결합하여  적혈구에  의해 온몸으로  운반된다 ., C: 대부분의  이산화탄소는  혈장에  녹아 폐로 운반된다 .",,medium,AIDA2,multiple_choice,,
AIDA2-A-03,호흡에  관여하는  주요 근육은  ( ) 과 ( ) 이다.,,"횡격막, 이두근","흉근, 횡격막","횡격막, 늑간근","흉근( 가슴 근육), 이두근",3,정답: 횡격막  - 늑간근,,hard,AIDA2,multiple_choice,,
AIDA2-A-04,호흡에  이용되는  가장 효과적인  근육을  한 가지 고르시오 .,,흉근( 가슴 근육),횡격막,이두근,늑간근,2,B: 횡격막,,hard,AIDA2,multiple_choice,,
AIDA2-A-05,"호흡하는  동안, 혈액의  산소 포화도는  항상 96-99% 이다.",,참,거짓,,,1,A: 참,,hard,AIDA2,multiple_choice,,
AIDA2-A-06,"호흡충동을  느낄 때, 몸에는  여전히  이용 가능한  산소가  남아 있으므로  이후에도  일정 시간 이상 호흡을  참을 수 있다.",,참,거짓,,,1,A: 참,,medium,AIDA2,multiple_choice,,
AIDA2-A-07,"Q. 체내 이산화탄소 농도가 증가함으로 인해 경험할 수 있는 증상을 모두 고르시오.

A. 수축

B. 어지럽고 쓰러질 것 같음

C. 횡격막이 타오르는 느낌

D. 횡격막을 찌르는듯한 통증",,"A, B","A, B, C","A, C","B, D",3,"A: 수축, C: 횡격막이  타오르는  느낌",,easy,AIDA2,multiple_choice,,
AIDA2-A-08,"Q. 옳은 것을 모두 고르시오.

A. 초과호흡은 이산화탄소 농도를 감소시켜 호흡충동을 지연시킨다.

B. 초과호흡은 안전하고 효율적인 프리다이빙 호흡법이다.

C. 초과호흡은 호흡충동을 지연시킬 수 있으며, 
그로 인해 어떤 경고 신호도 느끼지 못한 상태로 지나치게 오래 다이빙을 함으로써 LMC나 BO이 발생할 수 있기 때문에 위험하다.

D. 초과호흡은 체내 산소 포화도를 높이지 못한다.",,"A, B, C","A, C, D","B, C, D",전부 다,2,"A: 초과호흡은  이산화탄소  농도를  감소시켜  호흡충동을  지연시킨다 .
C: 초과호흡은  호흡충동을  지연시킬  수 있으며, 그로 인해 어떤 경고 신호도  느끼지  못한 상태로  지나치게  오래 다이빙을  함으로써  LMC 나 BO 이 발생할  수 있기 때문에  위험하다.
D: 초과호흡은  체내 산소 포화도를  높이지  못한다 .",,hard,AIDA2,multiple_choice,,
AIDA2-A-09,초과호흡의  증상을  4 가지 이상 적으시오 .,,,,,,2,"정답: 병적 쾌감, 손발이  아림, 어지럽고  쓰러질  것 같음, 현기증 , 입 주변이  저림, 입안에  금속성 ( 비릿한 ) 맛, 양손의  반마비  상태",,medium,AIDA2,multiple_choice,,
AIDA2-A-10,만약 초과호흡  증상을  느꼈다면  다이빙을  멈추고  그 증상이  사라질  때까지  다시 긴장완화  상태로  돌아가야  한다.,,참,거짓,,,1,A: 참,,medium,AIDA2,multiple_choice,,
AIDA2-A-11,"Q. 옳은 것을 모두 고르시오.

A. 운동신경조절장애(LMC)는 낮은 산소 농도에 의해 발생하는 저산소 발작이다. (가벼운 저산소증)

B. LMC를 겪은 후 즉시 다이빙을 지속해야 한다.

C. LMC는 다이빙이나 스테틱 숨참기 후 수면 위에서 발생한다.

D. LMC는 통제되지 않는 일련의 근육 경련이 발생할 수 있으며, 혼동이 오거나 반응이 둔해지기도 한다.",,"A, B, C","A, C, D","B, C, D",전부 다,2,"A: 운동신경조절장애 (LMC) 는 낮은 산소 농도에  의해 발생하는  저산소  발작이다 . ( 가벼운  저산소증 ), C: LMC 는 다이빙이나  스테틱  숨참기  후 수면 위에서  발생한다 ., D: LMC 는 통제되지  않는 일련의  근육 경련이  발생할  수 있으며 , 혼동이  오거나  반응이  둔해지기도  한다.",,medium,AIDA2,multiple_choice,,
