question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms
Q0001,AIDA라는 단체의 약어(프랑스어)가 의미하는 바는 무엇인가?,,국제 수중 구조 연합,국제 수중무호흡다이빙 개발 협회,국제 해양 스포츠 연맹,국제 스쿠버 다이빙 협회,2,국제 수중무호흡다이빙 개발 협회,AIDA는 'Association Internationale pour le Développement de l'Apnée'의 약자로 국제 수중무호흡다이빙 개발 협회를 의미한다.,easy,AIDA 소개,AIDA의 정의 및 명칭,"AIDA, 약어"
Q0002,"AIDA1 과정에 등록하기 위한 선행 조건 중, 핀을 착용하지 않고 논스톱으로 수영해야 하는 최소 거리는?",,50m,100m,200m,300m,2,100m,"AIDA1 선행 조건은 핀을 착용하지 않고 최소 100m 논스톱 수영, 또는 마스크와 핀, 스노클을 착용하고 200m 논스톱 수영이다.",easy,선행 조건,수영 능력 요구사항,"선행조건, 수영"
Q0003,"AIDA1 과정의 선행 조건 중, 마스크와 핀, 스노클을 착용하고 논스톱으로 수영해야 하는 최소 거리는?",,100m,200m,300m,400m,2,200m,장비를 착용한 상태에서는 최소 200m를 멈추지 않고 수영할 수 있어야 한다.,easy,선행 조건,장비 착용 수영 능력,"선행조건, 핀수영"
Q0004,프리다이빙을 의미하는 'Apnea(압니어)'의 어원이 되는 그리스어 'Apnoea'의 뜻으로 올바른 것은?,,물속에서,숨을 쉬지 않고,깊은 호흡,바다의 신,2,숨을 쉬지 않고,Apnoea는 문자 그대로 '숨을 쉬지 않고(without breathing)'를 의미한다.,easy,AIDA 소개,프리다이빙 용어의 유래,"Apnea, 어원"
Q0005,"AIDA 의료 진술서 작성 시, 병력 질문 중 하나라도 '예(YES)'라고 답한 경우 취해야 할 올바른 조치는?",,강사에게 구두로 설명하고 진행한다.,해당 항목을 '아니오'로 수정한다.,의사로부터 서면 허가서를 받아 제출한다.,본인이 책임진다는 각서를 쓴다.,3,의사로부터 서면 허가서를 받아 제출한다.,"의료 진술서의 질문에 '예'가 있는 경우, 유자격 의사로부터 프리다이빙 활동에 대한 서면 허가(Medical Clearance)를 받아야 한다.",medium,서류 작업,의료 진술서 작성 규칙,"의료진술서, 의사소견"
Q0006,AIDA 책임면제 및 위험부담 동의서의 주된 목적으로 가장 적절한 것은?,,사고 시 강사의 책임을 면제하기 위함,프리다이빙이 위험한 활동임을 경고하기 위함,규칙을 따르면 안전함을 인지하고 안전의 주체가 자신임을 확인하기 위함,보험 가입을 의무화하기 위함,3,규칙을 따르면 안전함을 인지하고 안전의 주체가 자신임을 확인하기 위함,"이 서류는 강사의 지시와 규칙을 따르면 프리다이빙이 안전하다는 점을 강조하고, 참여자가 안전의 주체임을 확인하는 문서이다.",medium,서류 작업,책임면제 동의서의 의미,"책임면제, 안전주체"
Q0007,평상시 건강한 사람의 휴식 중 혈중 산소(O2​) 포화도 범위로 가장 적절한 것은?,,80% ~ 85%,85% ~ 90%,90% ~ 95%,96% ~ 99%,4,96% ~ 99%,휴식 상태에서 인체의 산소 포화도는 항상 96%~99% 수준(거의 최대치)을 유지한다.,easy,호흡 주기,산소 포화도 기본 상식,"산소포화도, 휴식"
Q0008,프리다이빙 호흡 주기 4단계를 올바른 순서대로 나열한 것은?,,긴장완화 - 한번의 큰 호흡 - 숨참기 - 회복호흡,한번의 큰 호흡 - 긴장완화 - 숨참기 - 회복호흡,긴장완화 - 숨참기 - 한번의 큰 호흡 - 회복호흡,숨참기 - 회복호흡 - 긴장완화 - 한번의 큰 호흡,1,긴장완화 - 한번의 큰 호흡 - 숨참기 - 회복호흡,"호흡 주기는 1. 긴장완화 단계, 2. 한번의 큰 호흡(최종호흡), 3. 숨참기(무호흡), 4. 회복호흡 순으로 진행된다.",easy,호흡 주기,호흡 단계 순서,"호흡주기, 순서"
Q0009,호흡 주기의 첫 번째 단계인 '긴장완화 단계'에서 권장되는 호흡 방법은?,,흉식호흡,복식호흡,구강호흡,초과호흡,2,복식호흡,긴장완화 단계에서는 심신의 활동을 줄이고 산소 소모를 최소화하기 위해 복식호흡을 한다.,medium,호흡 주기,긴장완화 호흡법,"긴장완화, 복식호흡"
Q0010,한번의 큰 호흡(최종호흡)'을 할 때 들이마시는 속도로 가장 적절한 것은?,,최대한 빠르게,1초 이내로 급격하게,편안함을 느끼는 범위 내에서 천천히,숨이 찰 정도로 빠르게,3,편안함을 느끼는 범위 내에서 천천히,폐를 완전히 채우기 위해 안락함 속에서 천천히 길게 숨을 들이쉬어야 한다.,medium,호흡 주기,최종호흡 방법,"최종호흡, 속도"
