question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms
Q0001,"AIDA4 마스터 프리다이버 과정의 주요 목표 중 하나로, 레크리에이셔널 프리다이빙의 한계 수심으로 간주되는 깊이는 얼마인가?",,30m,38m,40m,50m,2,38m,AIDA4 과정은 레크리에이셔널 프리다이빙의 경계선인 38m에 안전하게 도달하는 것을 목표로 한다.,쉬움,AIDA4 소개,개념 이해,"수심,목표"
Q0002,한국에서 AIDA4 과정에 등록하기 위한 법적 최소 연령 요건은?,,만 16세,만 18세,만 19세,만 21세,3,만 19세,"국제 기준은 만 18세이나, 한국의 경우 지역 법률(민법상 성인)이 우선하므로 만 19세 이상이어야 한다.",쉬움,AIDA4 소개,규정,"연령,사전조건"
Q0003,실패 수심(Failure Depth)을 결정하는 물리학적 법칙은 무엇인가?,,아르키메데스의 원리,보일의 법칙,찰스의 법칙,헨리의 법칙,2,보일의 법칙,보일의 법칙에 따라 수심이 깊어질수록 기체의 부피가 감소하여 실패 수심에 도달하게 된다.,보통,물리학,개념 이해,"보일의 법칙,실패 수심"
Q0004,총폐용량(TLC)이 6L이고 잔기량(RV)이 1.5L인 프리다이버의 이론적 실패 수심(압력)은 몇 bar인가?,,3 bar,4 bar,5 bar,6 bar,2,4 bar,"실패 수심(bar) = TLC / RV 이므로, 6 / 1.5 = 4 bar이다.",어려움,물리학,계산,"TLC,RV,실패 수심"
Q0005,"위 문제의 프리다이버(TLC 6L, RV 1.5L)의 이론적 실패 수심을 미터(m) 단위로 환산하면?",,20m,30m,40m,50m,2,30m,4 bar는 수심 30m에 해당한다. (4 - 1) * 10 = 30m.,어려움,물리학,계산,수심 계산
Q0006,실패 수심을 늘리기(더 깊게 만들기) 위한 방법으로 적절하지 않은 것은?,,폐활량(VC) 증가,잔기량(RV) 감소,흉곽 유연성 향상,기능적 잔기량(FRC) 증가,4,기능적 잔기량(FRC) 증가,실패 수심을 깊게 하려면 TLC를 늘리거나 RV를 줄여야 한다. FRC 증가는 직접적인 관련이 없거나 오히려 불리할 수 있다.,보통,생리학,원리 적용,"실패 수심,RV,VC"
Q0007,잔기량(RV)을 감소시키기 위한 훈련 방법으로 가장 적절한 것은?,,폐 패킹,유산소 운동,날숨(Exhale) 스트레칭,근력 운동,3,날숨(Exhale) 스트레칭,"잔기량을 줄인다는 것은 폐를 더 작게 압축할 수 있게 만드는 것이므로, 날숨 상태에서의 횡격막 및 흉곽 스트레칭이 필요하다.",보통,트레이닝,방법론,"RV,스트레칭"
Q0008,FRC(Functional Residual Capacity) 다이빙의 정의로 올바른 것은?,,완전히 숨을 내쉬고 하는 다이빙,정상적인 날숨 후 폐에 남은 공기로 하는 다이빙,최대 흡기 후 하는 다이빙,패킹 후 하는 다이빙,2,정상적인 날숨 후 폐에 남은 공기로 하는 다이빙,FRC는 정상적인 호흡에서 숨을 편안하게 내쉰 후 폐에 남아있는 공기량을 의미한다.,쉬움,FRC,정의,"FRC,호흡"
Q0009,FRC 다이빙 훈련의 주된 이점이 아닌 것은?,,얕은 수심에서 깊은 수심의 폐 부피 적응,이퀄라이징 기술 연습,저산소증 내성 강화,흉곽 유연성 및 릴랙스 향상,3,저산소증 내성 강화,"FRC 다이빙은 주로 깊은 수심에서의 압력 적응과 이퀄라이징 연습을 얕은 수심에서 시뮬레이션하기 위해 수행하며, 저산소 훈련이 주 목적은 아니다.",보통,트레이닝,효과,"FRC,이점"
Q0010,FRC 다이빙 시 안전 수칙으로 가장 중요한 것은?,,최대한 빠르게 하강한다,절대 강제로 숨을 내뱉어 RV 이하로 줄이지 않는다,항상 20m 이상 깊게 다이빙한다,노즈클립을 사용하지 않는다,2,절대 강제로 숨을 내뱉어 RV 이하로 줄이지 않는다,RV(잔기량) 이하로 숨을 강제로 내뱉고 다이빙하는 것은 폐 압착(Squeeze)의 위험을 크게 높이므로 금지된다.,어려움,안전,수칙,"FRC,안전"
